ID,FINE_ART_Scholarship _19/FAL,CLASS_19/FAL,ALTCUM_GPA_19_FAL,FINE_ARTS_Scholarship _19/FAL,MAJOR_FIXED_19/FAL,RETURN_BIN_19/FAL,Role_19/FAL,SPORT_19/FAL,Sport_19/FAL,FINE_ART_Scholarship _20/SPR,CLASS_20/SPR,ALTCUM_GPA_20/SPR,FINE_ARTS_Scholarship _20/SPR,MAJOR_FIXED_20/SPR,RETURN_BIN_20/SPR,Role_20/SPR,SPORT_20/SPR,Sport_20/SPR,FINE_ART_Scholarship _20/FAL,CLASS_20/FAL,ALTCUM_GPA_20/FAL,FINE_ARTS_Scholarship _20/FAL,MAJOR_FIXED_20/FAL,RETURN_BIN_20/FAL,Role_20/FAL,SPORT_20/FAL,Sport_20/FAL,FINE_ART_Scholarship _21/SPR,CLASS_21/SPR,ALTCUM_GPA_21/SPR,FINE_ARTS_Scholarship _21/SPR,MAJOR_FIXED_21/SPR,RETURN_BIN_21/SPR,Role_21/SPR,SPORT_21/SPR,Sport_21/SPR,FINE_ART_Scholarship _21/FAL,CLASS_21/FAL,ALTCUM_GPA_21/FAL,FINE_ARTS_Scholarship _21/FAL,MAJOR_FIXED_21/FAL,RETURN_BIN_21/FAL,Role_21/FAL,SPORT_21/FAL,Sport_21/FAL,FINE_ART_Scholarship _22/SPR,CLASS_22/SPR,ALTCUM_GPA_22/SPR,FINE_ARTS_Scholarship _22/SPR,MAJOR_FIXED_22/SPR,RETURN_BIN_22/SPR,Role_22/SPR,SPORT_22/SPR,Sport_22/SPR,FINE_ART_Scholarship _22/FAL,CLASS_22/FAL,ALTCUM_GPA_22/FAL,FINE_ARTS_Scholarship _22/FAL,MAJOR_FIXED_22/FAL,RETURN_BIN_22/FAL,Role_22/FAL,SPORT_22/FAL,Sport_22/FAL,FINE_ART_Scholarship _23/SPR,CLASS_23/SPR,ALTCUM_GPA_23/SPR,FINE_ARTS_Scholarship _23/SPR,MAJOR_FIXED_23/SPR,RETURN_BIN_23/SPR,Role_23/SPR,SPORT_23/SPR,Sport_23/SPR,FINE_ART_Scholarship _23/FAL,CLASS_23/FAL,ALTCUM_GPA_23/FAL,FINE_ARTS_Scholarship _23/FAL,MAJOR_FIXED_23/FAL,RETURN_BIN_23/FAL,Role_23/FAL,SPORT_23/FAL,Sport_23/FAL,FINE_ART_Scholarship _24/SPR,CLASS_24/SPR,ALTCUM_GPA_24/SPR,FINE_ARTS_Scholarship _24/SPR,MAJOR_FIXED_24/SPR,RETURN_BIN_24/SPR,Role_24/SPR,SPORT_24/SPR,Sport_24/SPR,FINE_ART_Scholarship _24/FAL,CLASS_24/FAL,ALTCUM_GPA_24/FAL,FINE_ARTS_Scholarship _24/FAL,MAJOR_FIXED_24/FAL,RETURN_BIN_24/FAL,Role_24/FAL,SPORT_24/FAL,Sport_24/FAL,FINE_ART_Scholarship _25/SPR,CLASS_25/SPR,ALTCUM_GPA_25/SPR,FINE_ARTS_Scholarship _25/SPR,MAJOR_FIXED_25/SPR,RETURN_BIN_25/SPR,Role_25/SPR,SPORT_25/SPR,Sport_25/SPR,ETHNICITY,RACE,RACE2,RACE3,GENDER,BIRTH_DATE,START_TERM,FIRST_GEN,RETURN?,RETURN_BIN,CONDITIONAL_ADMITS,PELL,ADMIT_STATUS,STA_FED_COHORT_GROUP,STATE,GRADS,PRIMARY_MAJOR,Membrshp Start Dt,Membrshp End Dt,years_org,SPORT_COUNT,INSTATE,RETENTION_BIN,INSTATE_BIN,PERSISTANCE_SO_JR_BIN,PERSISTANCE_JR_SR_BIN,ETHNICITY_BIN,RACE_BIN,GENDER_BIN,CONDITIONAL_ADMITS_BIN,FOOTBALL_BIN,FINAL_GPA,ATHLETE_BIN
189158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FR,0,YES,UND,0,,,,,SO,3.833,YES,MUS,0,,,,,SO,3.812,YES,MUS,0,,,,,JR,3.872,YES,NRES,0,,,,,SR,3.893,YES,NRES,0,,,,,SR,3.889,YES,NRES,0,,,,,SR,3.87,YES,NRES,0,,,,,SR,3.832,YES,NRES,1,,,,NHS,WH,,,M,9/16/2003,21/FAL,NO,Graduated,0,NO,NO,FR,21-22,NE,YES,NRES,,,,0,In State,0,0,0,0,0,0,0,0,0,3.832,0
283153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FR,0,NO,UND,0,Member,AMIT,M Indoor Track,,SO,3.1,NO,EXSCI,0,Member,AMIT,M Indoor Track,,SO,3.229,NO,EXSCI,0,Member,AMIT,M Indoor Track,,JR,3.398,NO,EXSCI,0,Member,AMIT,M Indoor Track,,JR,3.23,NO,EXSCI,0,Member,AMIT,M Indoor Track,,SR,3.359,NO,EXSCI,0,Member,AMIT,M Indoor Track,,SR,3.37,NO,EXSCI,0,Member,AMIT,M Indoor Track,,SR,3.387,NO,EXSCI,1,Member,AMIT,M Indoor Track,NHS,WH,,,M,7/23/2002,21/FAL,NO,Graduated,0,NO,NO,FR,21-22,NE,YES,EXSCI,9/1/2021,6/1/2023,1.75,1,In State,0,0,0,0,0,0,0,0,0,3.387,1
283572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FR,0,NO,UND,0,Varsity,AWTR,W Outdoor Track,,FR,4,NO,HSI,1,Varsity,AWTR,W Outdoor Track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,F,7/10/2003,21/FAL,NO,Left,1,NO,NO,FR,21-22,NE,,HSI,9/1/2021,5/1/2022,0.66,1,In State,1,0,,,0,0,1,0,0,4,1
291238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FR,0,NO,UND,0,Member,AMIT,M Indoor Track,,FR,3.586,NO,HSI,0,Member,AMIT,M Indoor Track,,SO,3.463,NO,HSI,0,Member,AMIT,M Indoor Track,,JR,3.642,NO,HSI,0,Member,AMIT,M Indoor Track,,JR,3.681,NO,HSI,0,Member,AMIT,M Indoor Track,,SR,3.718,NO,HSI,0,Member,AMIT,M Indoor Track,,SR,3.708,NO,HSI,0,Member,AMIT,M Indoor Track,,SR,3.741,NO,HSI,1,Member,AMIT,M Indoor Track,NHS,WH,,,M,12/23/2002,21/FAL,NO,Graduated,0,NO,NO,FR,21-22,SD,YES,HSI,11/1/2024,,,1,Out of State,0,1,0,0,0,0,0,0,0,3.741,1
295843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FR,0,NO,UND,0,Member,ABSA,Baseball,,SO,3.54,NO,ECO,0,Member,ABSA,Baseball,,SO,3.539,NO,ECO,0,Member,ABSA,Baseball,,JR,3.57,NO,ECO,0,Member,ABSA,Baseball,,JR,3.571,NO,ECO,0,Member,ABSA,Baseball,,SR,3.671,NO,ECO,0,Member,ABSA,Baseball,,SR,3.715,NO,ECO,0,Member,ABSA,Baseball,,SR,3.722,NO,ECO,1,Member,ABSA,Baseball,NHS,WH,,,M,6/10/2003,21/FAL,NO,Graduated,0,NO,NO,FR,21-22,AZ,YES,ECO,9/1/2021,1/1/2023,1.33,1,Out of State,0,1,0,0,0,0,0,0,0,3.722,1
296254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FR,0,NO,UND,0,Varsity,AMIT,M Indoor Track,,FR,3.681,NO,UND,0,Varsity,AMIT,M Indoor Track,,SO,3.57,NO,EXSCI,0,Varsity,AMIT,M Indoor Track,,SO,3.467,NO,EXSCI,1,Varsity,AMIT,M Indoor Track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHS,WH,,,M,9/25/2003,21/FAL,NO,Left,1,NO,YES,FR,21-22,NE,,EXSCI,9/1/2021,6/1/2023,1.75,1,In State,0,0,1,,0,0,0,0,0,3.467,1
299175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FR,0,YES,UND,0,,,,,FR,2.74,YES,THE,0,,,,,FR,2.265,YES,THE,0,,,,,SO,2.194,YES,THE,0,,,,,SO,2.311,YES,THE,0,,,,,JR,2.398,YES,THE,0,,,,,JR,2.43,YES,THE,0,,,,,SR,2.513,YES,THE,0,,,,NHS,WH,,,M,8/25/2003,21/FAL,NO,Returns,0,NO,NO,FR,21-22,NE,,THE,,,,0,In State,0,0,0,0,0,0,0,0,0,2.513,0
302382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FR,0,YES,UND,0,,,,,SO,4,YES,MUS,0,,,,,SO,3.971,YES,MUS,0,,,,,JR,3.981,YES,MUS,0,,,,,SR,3.917,YES,MUS,0,,,,,SR,3.905,YES,MUS,0,,,,,SR,3.877,YES,MUS,0,,,,,SR,3.896,YES,MUS,1,,,,NHS,WH,,,F,4/14/2003,21/FAL,NO,Graduated,0,NO,NO,FR,21-22,NE,YES,MUS,,,,0,In State,0,0,0,0,0,0,1,0,0,3.896,0
306312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FR,0,NO,UND,0,Member,AMIT,M Indoor Track,,FR,3.48,NO,ACC,0,Member,AMIT,M Indoor Track,,SO,3.434,NO,ACC,0,Member,AMIT,M Indoor Track,,SO,3.423,NO,ACC,0,Member,AMIT,M Indoor Track,,JR,3.459,NO,ACC,0,Member,AMIT,M Indoor Track,,JR,3.477,NO,ACC,0,Member,AMIT,M Indoor Track,,SR,3.472,NO,ACC,0,Member,AMIT,M Indoor Track,,SR,3.475,NO,ACC,1,Member,AMIT,M Indoor Track,NHS,WH,,,M,1/24/2003,21/FAL,NO,Graduated,0,NO,NO,FR,21-22,NE,YES,ACC,9/1/2021,,,1,In State,0,0,0,0,0,0,0,0,0,3.475,1
306626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FR,0,YES,UND,0,,,,,FR,4,YES,MTHDA,0,,,,,SO,3.944,YES,MTHDA,0,,,,,JR,3.963,YES,MTHDA,0,,,,,JR,3.937,YES,MTHDA,0,,,,,SR,3.949,YES,MTHDA,0,,,,,SR,3.948,YES,MTHDA,0,,,,,SR,3.938,YES,MTHDA,1,,,,NHS,WH,,,F,6/6/2003,21/FAL,NO,Graduated,0,NO,NO,FR,21-22,NE,YES,MTHDA,,,,0,In State,0,0,0,0,0,0,1,0,0,3.938,0
